Nodo,ScientificName,Functional feeding groups,Freshwater,Marine,Terrestrial,Fuente de ocurrencia,AphiaID,TaxonRank,TaxonomicStatus,AcceptedName,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Ref,Status,Observaciones
Lombrices,Lumbriculus variegatus,Collector gatherers,TRUE,FALSE,FALSE,Miserendino 2007,2308023,SPECIES,ACCEPTED,"Lumbriculus variegatus (Müller, 1774)",Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus,Lumbriculus variegatus,"(Müller, 1774) ",https://www.gbif.org/species/2308023,Exotico,
Sanguijuelas,Glossiphonidae,Predator,TRUE,FALSE,FALSE,Miserendino 2007,3575,FAMILY,ACCEPTED,Glossiphoniidae,Animalia,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,,,,https://www.gbif.org/species/3575,Desconocido,
Lombrices,Limnodrilus,Collector gatherers,TRUE,FALSE,FALSE,Miserendino 2007 / Miserendino & Brand 2009,2308538,GENUS,ACCEPTED,"Limnodrilus Claparède, 1862",Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,,"Claparède, 1862",https://www.gbif.org/species/2308538,Desconocido,
Lombrices,Nais communis,Collector gatherers,TRUE,FALSE,FALSE,Miserendino 2007,2308095,SPECIES,ACCEPTED,"Nais communis Piguet, 1906",Animalia,Annelida,Clitellata,Tubificida,Naididae,Nais,Nais communis,"Piguet, 1906",https://www.gbif.org/species/2308095,Exotico,
Lombrices,Phreodrilus,Collector gatherers,TRUE,FALSE,FALSE,Miserendino 2007,2308241,GENUS,ACCEPTED,"Phreodrilus Beddard, 1891",Animalia,Annelida,Clitellata,Tubificida,Phreodrilidae,Phreodrilus,,"Beddard, 1891",https://www.gbif.org/species/2308241,Desconocido,
Arachnida,Tegenaria domestica,Predator,FALSE,FALSE,TRUE,Argentinat,2139961,SPECIES,ACCEPTED,"Tegenaria domestica (Clerck, 1757)",Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Tegenaria,Tegenaria domestica,"(Clerck, 1757) ",https://www.gbif.org/species/2139961,Exotico,
Arachnida,Argiope argentata,Predator,FALSE,FALSE,TRUE,Argentinat,5170999,SPECIES,ACCEPTED,"Argiope argentata (Fabricius, 1775)",Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope argentata,"(Fabricius, 1775) ",https://www.gbif.org/species/5170999,Nativo,
Arachnida,Metepeira,Predator,FALSE,FALSE,TRUE,Argentinat,2160897,GENUS,ACCEPTED,"Metepeira Cambridge, 1903",Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metepeira,,"Cambridge, 1903",https://www.gbif.org/species/2160897,Desconocido,
Arachnida,Dysdera crocata,Predator,FALSE,FALSE,TRUE,Argentinat,2139331,SPECIES,ACCEPTED,"Dysdera crocata C.L.Koch, 1838",Animalia,Arthropoda,Arachnida,Araneae,Dysderidae,Dysdera,Dysdera crocata,"C.L.Koch, 1838",https://www.gbif.org/species/2139331,Exotico,
Arachnida,Lihuelistata metamerica,Predator,FALSE,FALSE,TRUE,Argentinat,2167623,SPECIES,ACCEPTED,"Lihuelistata metamerica (Mello-Leitão, 1940)",Animalia,Arthropoda,Arachnida,Araneae,Filistatidae,Lihuelistata,Lihuelistata metamerica,"(Mello-Leitão, 1940) ",https://www.gbif.org/species/2167623,Nativo,
Arachnida,Apopyllus suavis,Predator,FALSE,FALSE,TRUE,Argentinat,2132885,SPECIES,ACCEPTED,"Apopyllus suavis (Simon, 1893)",Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Apopyllus,Apopyllus suavis,"(Simon, 1893) ",https://www.gbif.org/species/2132885,Nativo,
Arachnida,Platoecobius kooch,Predator,FALSE,FALSE,TRUE,Argentinat,6717407,SPECIES,ACCEPTED,"Platoecobius kooch Santos & Gonzaga, 2008",Animalia,Arthropoda,Arachnida,Araneae,Oecobiidae,Platoecobius,Platoecobius kooch,"Santos & Gonzaga, 2008",https://www.gbif.org/species/6717407,Nativo,
Arachnida,Holocnemus pluchei,Predator,FALSE,FALSE,TRUE,Argentinat,2149679,SPECIES,ACCEPTED,"Holocnemus pluchei (Scopoli, 1763)",Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Holocnemus,Holocnemus pluchei,"(Scopoli, 1763) ",https://www.gbif.org/species/2149679,Exotico,
Arachnida,Megafreya sutrix,Predator,FALSE,FALSE,TRUE,Argentinat,8153602,SPECIES,ACCEPTED,"Megafreya sutrix (Holmberg, 1875)",Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Megafreya,Megafreya sutrix,"(Holmberg, 1875) ",https://www.gbif.org/species/8153602,Nativo,
Arachnida,Menemerus semilimbatus,Predator,FALSE,FALSE,TRUE,Argentinat,2169069,SPECIES,ACCEPTED,"Menemerus semilimbatus (Hahn, 1829)",Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Menemerus,Menemerus semilimbatus,"(Hahn, 1829) ",https://www.gbif.org/species/2169069,Exotico,
Arachnida,Menemerus taeniatus,Predator,FALSE,FALSE,TRUE,Argentinat,2169044,SPECIES,ACCEPTED,"Menemerus taeniatus (L.Koch, 1867)",Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Menemerus,Menemerus taeniatus,"(L.Koch, 1867) ",https://www.gbif.org/species/2169044,Exotico,
Arachnida,Salticus mutabilis,Predator,FALSE,FALSE,TRUE,Argentinat,2168363,SPECIES,ACCEPTED,"Salticus mutabilis Lucas, 1846",Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticus,Salticus mutabilis,"Lucas, 1846",https://www.gbif.org/species/2168363,Exotico,
Arachnida,Saphrys saitiformis,Predator,FALSE,FALSE,TRUE,Argentinat,7483536,SPECIES,ACCEPTED,"Saphrys saitiformis (Simon, 1901)",Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Saphrys,Saphrys saitiformis,"(Simon, 1901) ",https://www.gbif.org/species/7483536,Nativo,
Arachnida,Trydarssus pantherinus,Predator,FALSE,FALSE,TRUE,Argentinat,2176721,SPECIES,ACCEPTED,"Trydarssus pantherinus (Mello-Leitão, 1946)",Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Trydarssus,Trydarssus pantherinus,"(Mello-Leitão, 1946) ",https://www.gbif.org/species/2176721,Nativo,
Arachnida,Segestria florentina,Predator,FALSE,FALSE,TRUE,Argentinat,5169968,SPECIES,ACCEPTED,"Segestria florentina (Rossi, 1790)",Animalia,Arthropoda,Arachnida,Araneae,Segestriidae,Segestria,Segestria florentina,"(Rossi, 1790) ",https://www.gbif.org/species/5169968,Exotico,
Arachnida,Polybetes trifoveatus,Predator,FALSE,FALSE,TRUE,Argentinat,2161941,SPECIES,ACCEPTED,"Polybetes trifoveatus (Järvi, 1912)",Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Polybetes,Polybetes trifoveatus,"(Järvi, 1912) ",https://www.gbif.org/species/2161941,Nativo,
Arachnida,Tetragnatha,Predator,FALSE,FALSE,TRUE,Argentinat,2151693,GENUS,ACCEPTED,"Tetragnatha Walckenaer, 1805",Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tetragnatha,,"Walckenaer, 1805",https://www.gbif.org/species/2151693,Desconocido,
Arachnida,Latrodectus mirabilis,Predator,FALSE,FALSE,TRUE,Argentinat,2157947,SPECIES,ACCEPTED,"Latrodectus mirabilis (Holmberg, 1876)",Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,Latrodectus mirabilis,"(Holmberg, 1876) ",https://www.gbif.org/species/2157947,Nativo,
Arachnida,Steatoda anchorata,Predator,FALSE,FALSE,TRUE,Argentinat,2157223,SPECIES,ACCEPTED,"Steatoda ancorata (Holmberg, 1876)",Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,Steatoda ancorata,"(Holmberg, 1876) ",https://www.gbif.org/species/2157223,Nativo,
