x
Acacia dealbata
Achryson surinamum
Acledra fraterna
Adalia angulifera
Adalia bipunctata
Aegomorphus jaspideus
Agathemera millepunctata
Agelaioides badius
Agelasticus thilius
Alcea rosea
Aleuas lineatus
Anas flavirostris
Anas georgica
Anas georgica spinicauda
Anser anser domesticus
Anthrenus verbasci
Anthus correndera
Apis mellifera
Apopyllus suavis
Apterocaulus heterogama
Aramigus tessellatus
Argiope argentata
Argyrophorus chiliensis
Aricoris signata
Arundo donax
Asthenes pyrrholeuca
Athene cunicularia
Atriplex lampa
Aulacomya atra
Austrocactus bertinii
Azorella prolifera
Baccharis juncea
Baccharis spartioides
Balanus glandula
Blepharipoda doelloi
Bombus terrestris
Bubo magellanicus
Buccinastrum deforme
Burgilis curta
Cacoecimorpha pronubana
Calendyma multiguttata
Calidris fuscicollis
Callipepla californica
Callorhinchus callorynchus
Cathartes aura
Centranthus ruber
Cephalorhynchus commersonii
Chalcopoecila ornata
Chauliognathus scriptus
Chelymorpha varians
Chilocorus bipustulatus
Chirgus fides
Chloephaga picta
Chloephaga poliocephala
Chloridea virescens
Chroicocephalus cirrocephalus
Chroicocephalus maculipennis
Chrysobothris rugosa
Chuquiraga avellanedae
Cichorium intybus
Circus cinereus
Colliguaja integerrima
Columba livia domestica
Columbina picui
Compsocerus violaceus
Conocephalus longipes
Convolvulus arvensis
Coptopteryx gayi
Coragyps atratus
Cortaderia selloana
Coscoroba coscoroba
Cotyclytus patagonicus
Crepidula cachimilla
Cressa truxillensis
Cybaeodamus enigmaticus
Cycloneda ancoralis
Cycloneda sanguinea
Cygnus melancoryphus
Cylindera apiata
Cynara cardunculus
Danaus erippus
Danielethus patagonicus
Daptrius chimango
Daptrius chimango chimango
Datura ferox
Dichroplus elongatus
Dichroplus pratensis
Dichroplus vittatus
Dione vanillae
Dioprosopa clavata
Diplazon laetatorius
Diplotaxis tenuifolia
Distichlis spicata
Dolichotis patagonum
Dorimargus antoniae
Dysdera crocata
Egretta thula
Elanus leucurus
Entesia rubida
Epicauta adspersa
Eriocharis richardii
Eriopis serrai
Eristalis tenax
Erodium cicutarium
Erynnis funeralis
Erythrodiplax corallina
Erythrolamprus sagittifer
Eudesmia argentinensis
Eudromia elegans
Falco peregrinus
Falco sparverius
Frankenia patagonica
Fulica armillata
Fulica leucoptera
Fulica rufifrons
Furnarius rufus
Genidens barbus
Grindelia chiloensis
Haematopus ater
Haematopus leucopodus
Haematopus palliatus
Harmonia axyridis
Haywardella edmondsii
Heliopetes americanus
Hermetia illucens
Heteronetta atricapilla
Himantopus mexicanus
Himantopus mexicanus melanurus
Hippodamia variegata
Hirundo rustica
Hoffmannseggia glauca
Hoffmannseggia trifoliata
Holocnemus pluchei
Homonota darwinii
Hyles euphorbiarum
Hymenops perspicillatus
Hyperalonia morio
Hyperaspis elegantissima
Hyperaspis festiva
Ischnura fluviatilis
Janaesia carnea
Lactuca serriola
Lancetes
Larrea divaricata
Larrea nitida
Larus dominicanus
Larus dominicanus dominicanus
Lasionota alternans
Lathyrus latifolius
Latrodectus mirabilis
Leistes loyca
Lepidium draba
Leptoglossus crassicornis
Leptoglossus impictus
Lepus europaeus
Lessonia rufa
Leucocarbo atriceps
Leucocarbo atriceps albiventer
Leurocyclus tuberculosus
Ligustrum lucidum
Lihuelistata metamerica
Limonium brasiliense
Limosa haemastica
Liolaemus darwinii
Liolaemus fitzingerii
Liolaemus petrophilus
Lophonetta specularioides
Lophonetta specularioides specularioides
Lycium chilense
Lycium infaustum
Lygaeus alboornatus
Macronectes giganteus
Maihuenia patagonica
Malvella leprosa
Mareca sibilatrix
Marrubium vulgare
Medicago sativa
Megacyllene multiguttata
Megafreya sutrix
Menemerus semilimbatus
Menemerus taeniatus
Menodora robusta
Meriola
Merluccius hubbsi
Metepeira
Mimus patagonicus
Mimus saturninus
Mirounga leonina
Misumenoides athleticus
Misumenops
Molothrus bonariensis
Myiopsitta monachus
Myocastor coypus
Nabis ashworthi
Nannopterum brasilianum
Naupactus xanthographus
Neltuma denudans
Nemognatha nigronotata
