Depredador_nodo,Depredador_reportado,Presa_reportada,Evidencia,Referencia,Presa_checklist,Confiabilidad,Observaciones
Aegla neuquensis,Aegla longirostri,Aegla carapace,Directa,Santos et al 2008,Aegla neuquensis,Media,
Aegla neuquensis,Aegla platensis/ligulata,Aeglidae,Directa,Bueno et al 2004,Aegla neuquensis,Media,
Aegla neuquensis,Aegla laevis,Algae,Experimental,Burns 1972,Algae,Alta,
Aegla neuquensis,Aegla platensis/ligulata,Algae,Directa,Bueno et al 2004,Algae,Alta,
Aegla neuquensis,Aegla uruguayensis,Diatoms,Directa,Williner 2010,Algae,Alta,
Aegla neuquensis,Aegla grisella/singularis,Astyanax fasciatus,Directa,Savaris et al 2012,Carroña,Media,Los peces estaban muertos
Aegla neuquensis,Aegla grisella/singularis,Crenicichla ,Directa,Savaris et al 2012,Carroña,Media,Los peces estaban muertos
Aegla neuquensis,Aegla longirostri,Fish scale,Directa,Santos et al 2008,Carroña,Baja,
Aegla neuquensis,Aegla laevis,Leached leaves,Experimental,Burns 1972,Detritus,Alta,
Aegla neuquensis,Aegla platensis/ligulata,Plant debris,Directa,Bueno et al 2004,Detritus,Alta,
Aegla neuquensis,Aegla uruguayana,Detritus,Indirecta,Burress et al 2013,Detritus,Alta,
Aegla neuquensis,Aegla uruguayensis,Vegetation remains,Directa,Williner 2010,Detritus,Alta,
Aegla neuquensis,Aegla longirostri,Mollusc shells,Directa,Santos et al 2008,Gastropoda_aquatic,Baja,
Aegla neuquensis,Aegla platensis/ligulata,Gastropoda,Directa,Bueno et al 2004,Gastropoda_aquatic,Baja,
Aegla neuquensis,Aegla camargoi/leptodactyla,Ephemeroptera,Directa,Castro-Souza & Bond-Buckup 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla camargoi/leptodactyla,Trichoptera,Directa,Castro-Souza & Bond-Buckup 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla camargoi/leptodactyla,Coleoptera,Directa,Castro-Souza & Bond-Buckup 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla camargoi/leptodactyla,Diptera,Directa,Castro-Souza & Bond-Buckup 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla laevis,Ephemeroptera,Experimental,Burns 1972,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla laevis,Plecoptera,Experimental,Burns 1972,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla laevis,Diptera,Experimental,Burns 1972,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla longirostri,Insecta,Directa,Santos et al 2008,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla longirostri,Diptera larvae,Directa,Santos et al 2008,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla neuquensis,Phylloicus ,Indirecta,Cerezer et al 2016,Insecta_aquatic juvenile,Media,
Aegla neuquensis,Aegla platensis,Chironomidae,Experimental,Colpo et al 2012,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla platensis,Simullidae,Experimental,Colpo et al 2012,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla platensis,Hydropsychidae,Experimental,Colpo et al 2012,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla platensis/ligulata,Coleoptera,Directa,Bueno et al 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla platensis/ligulata,Diptera,Directa,Bueno et al 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla platensis/ligulata,Ephemeroptera,Directa,Bueno et al 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla platensis/ligulata,Hemiptera,Directa,Bueno et al 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla platensis/ligulata,Lepidoptera,Directa,Bueno et al 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla platensis/ligulata,Plecoptera,Directa,Bueno et al 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla platensis/ligulata,Trichoptera,Directa,Bueno et al 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla platensis/ligulata,Hyalellidae,Directa,Bueno et al 2004,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla uruguayana,Hydropsychidae,Indirecta,Burress et al 2013,Insecta_aquatic juvenile,Media,
Aegla neuquensis,Aegla uruguayensis,Chironomid larvae,Directa,Williner 2010,Insecta_aquatic juvenile,Alta,
Aegla neuquensis,Aegla laevis,Oligochaeta,Experimental,Burns 1972,Lombrices,Alta,
Aegla neuquensis,Aegla uruguayensis,Oligochaeta,Directa,Williner 2010,Lombrices,Alta,
Aegla neuquensis,Aegla laevis,Gambusia sp.,Experimental,Burns 1972,Odontesthes hatcheri,Baja,
Aegla neuquensis,Aegla platensis/ligulata,Planariidae,Directa,Bueno et al 2004,Planarias,Alta,
Aegla neuquensis,Aegla laevis,Amphibia (tadpoles),Experimental,Burns 1972,Renacuajos,Alta,
Aegla neuquensis,Aegla laevis,Salmo sp.,Experimental,Burns 1972,Salmo trutta,Media,
Aegla neuquensis,Aegla longirostri,Sediment,Directa,Santos et al 2008,Detritus,Alta,
Aegla neuquensis,Aegla platensis/ligulata,Sand,Directa,Bueno et al 2004,Detritus,Alta,
Aegla neuquensis,Aegla camargoi/leptodactyla,Macrophytas,Directa,Castro-Souza & Bond-Buckup 2004,Vegetacion_acuatica,Alta,
Aegla neuquensis,Aegla longirostri,Plant tissue,Directa,Santos et al 2008,Vegetacion_acuatica,Alta,
Aegla neuquensis,Aegla uruguayana,Macrophytas,Indirecta,Burress et al 2013,Vegetacion_acuatica,Alta,
Aegla neuquensis,Aegla platensis,Casearia sylvestris,Experimental,Colpo et al 2012,Vegetacion_terrestre,Baja,
Aegla neuquensis,Aegla platensis/ligulata,Porifera,Directa,Bueno et al 2004,,,
Aegla neuquensis,Aegla platensis/ligulata,Metacercariae,Directa,Bueno et al 2004,,,
Aegla neuquensis,Aegla platensis/ligulata,Scales,Directa,Bueno et al 2004,,,
Amphipoda,Hyalella azteca,Chlorella vulgaris,Experimental,Figueroa-Sánchez et al 2019,Algae,Alta,
Amphipoda,Hyalella azteca,Microcystis sp.,Experimental,Figueroa-Sánchez et al 2019,Algae,Alta,
Amphipoda,Hyalella azteca,Myriophyllum spicatum,Experimental,Steele et al 2018,Algae,Alta,
Amphipoda,Hyalella sp,Algae,Indirecta,Anderson et al 2020,Algae,Alta,
Amphipoda,Hyalella sp,Bacteria,Indirecta,Anderson et al 2020,Algae,Alta,
Aves_carroñeras,Caracara plancus,Palomas,Especialista,Aplicacion Aves Argentinas,Aves_terrestres,Alta,
Aves_carroñeras,Caracara plancus,Carroña,Especialista,Aplicacion Aves Argentinas,Carroña,Alta,
Aves_carroñeras,Cathartes aura,Carroña,Especialista,Aplicacion Aves Argentinas,Carroña,Alta,
Aves_carroñeras,Coragyps atratus,Carroña,Especialista,Aplicacion Aves Argentinas,Carroña,Alta,
Aves_carroñeras,Milvago chimango,Carroña,Especialista,Aplicacion Aves Argentinas,Carroña,Alta,
Aves_carroñeras,Caracara plancus,Reptiles,Especialista,Aplicacion Aves Argentinas,Culebras,Media,
Aves_carroñeras,Milvago chimango,Insectos terrestres,Especialista,Aplicacion Aves Argentinas,Insecta_terrestrial,Alta,
Aves_carroñeras,Caracara plancus,Reptiles,Especialista,Aplicacion Aves Argentinas,Lagartijas,Media,
Aves_carroñeras,Caracara plancus,Liebres,Especialista,Aplicacion Aves Argentinas,Mamiferos_terrestres,Alta,
Aves_carroñeras,Milvago chimango,Huevos y pichones de aves,Especialista,Aplicacion Aves Argentinas,Passeriformes,Alta,
Aves_carroñeras,Caracara plancus,Anfibios,Especialista,Aplicacion Aves Argentinas,Ranas,Media,
Aves_carroñeras,Caracara plancus,Ratas,Especialista,Aplicacion Aves Argentinas,Rodentia,Alta,
Aves_carroñeras,Caracara plancus,Peces,Especialista,Aplicacion Aves Argentinas,,,
Aves_cazadoras,Athene cunicularia,Cangrejos,Especialista,Aplicacion Aves Argentinas,Aegla neuquensis,Media,
Aves_cazadoras,Megaceryle torquata,Cangrejos,Especialista,Aplicacion Aves Argentinas,Aegla neuquensis,Media,
Aves_cazadoras,Tyto alba,Aegla neuquensis,Directa,De Tomasso,Aegla neuquensis,Alta,
Aves_cazadoras,Buteo polyosoma,Inambúes,Especialista,Aplicacion Aves Argentinas,Aves_terrestres,Alta,
Aves_cazadoras,Buteo polyosoma,Palomas,Especialista,Aplicacion Aves Argentinas,Aves_terrestres,Alta,
Aves_cazadoras,Falco peregrinus,Aves terrestres,Especialista,Aplicacion Aves Argentinas,Aves_terrestres,Alta,
Aves_cazadoras,Falco peregrinus,Palomas,Especialista,Aplicacion Aves Argentinas,Aves_terrestres,Alta,
Aves_cazadoras,Geranoaetus melanoleucus,Aves ,Especialista,Aplicacion Aves Argentinas,Aves_terrestres,Media,
Aves_cazadoras,Parabuteo unicinctus,"Palomas, inambúes y otras aves",Especialista,Aplicacion Aves Argentinas,Aves_terrestres,Alta,
Aves_cazadoras,Geranoaetus melanoleucus,Carroña,Especialista,Aplicacion Aves Argentinas,Carroña,Alta,
Aves_cazadoras,Athene cunicularia,Pequeños reptiles y anfibios,Especialista,Aplicacion Aves Argentinas,Culebras,Alta,
Aves_cazadoras,Falco peregrinus,Reptiles,Especialista,Aplicacion Aves Argentinas,Culebras,Alta,
Aves_cazadoras,Parabuteo unicinctus,Reptiles,Especialista,Aplicacion Aves Argentinas,Culebras,Alta,
Aves_cazadoras,Athene cunicularia,Cyrtograpsus angulatus,Directa,Sanchez et al 2008,Cyrtograpsus angulatus,Alta,
Aves_cazadoras,Athene cunicularia,Cangrejos,Especialista,Aplicacion Aves Argentinas,Cyrtograpsus angulatus,Media,
Aves_cazadoras,Megaceryle torquata,Cangrejos,Especialista,Aplicacion Aves Argentinas,Cyrtograpsus angulatus,Media,
Aves_cazadoras,Falco peregrinus,Cauquenes,Especialista,Aplicacion Aves Argentinas,Gansos y cauquenes,Alta,
Aves_cazadoras,Falco peregrinus,Gaviotines,Especialista,Aplicacion Aves Argentinas,Gaviotines,Alta,
Aves_cazadoras,Buteo polyosoma,Langostas y escarabajos,Especialista,Aplicacion Aves Argentinas,Insecta_terrestrial,Alta,
Aves_cazadoras,Falco femoralis,Insectos,Especialista,Aplicacion Aves Argentinas,Insecta_terrestrial,Alta,
Aves_cazadoras,Guira guira,Insectos,Especialista,Aplicacion Aves Argentinas,Insecta_terrestrial,Alta,
Aves_cazadoras,Megaceryle torquata,Insectos,Especialista,Aplicacion Aves Argentinas,Insecta_terrestrial,Alta,
Aves_cazadoras,Parabuteo unicinctus,Insectos terrestres,Especialista,Aplicacion Aves Argentinas,Insecta_terrestrial,Alta,
Aves_cazadoras,Athene cunicularia,"Escarabajos, grillos y otros insectos",Especialista,Aplicacion Aves Argentinas,Insecta_terrestrial,Alta,
Aves_cazadoras,Bubo magellanicus,Insectos terrestres,Especialista,Aplicacion Aves Argentinas,Insecta_terrestrial,Alta,
Aves_cazadoras,Circus cinereus,Insectos y arácnidos,Especialista,Aplicacion Aves Argentinas,Insecta_terrestrial,Alta,
Aves_cazadoras,Falco peregrinus,Insectos terrestres,Especialista,Aplicacion Aves Argentinas,Insecta_terrestrial,Alta,
Aves_cazadoras,Falco sparverius,Insectos terrestres,Especialista,Aplicacion Aves Argentinas,Insecta_terrestrial,Alta,
Aves_cazadoras,Asio flammeus,Reptiles,Especialista,Aplicacion Aves Argentinas,Lagartijas,Alta,
Aves_cazadoras,Athene cunicularia,Pequeños reptiles y anfibios,Especialista,Aplicacion Aves Argentinas,Lagartijas,Media,
Aves_cazadoras,Bubo magellanicus,Reptiles (ocasionalmente),Especialista,Aplicacion Aves Argentinas,Lagartijas,Alta,
Aves_cazadoras,Buteo polyosoma,Lagartos,Especialista,Aplicacion Aves Argentinas,Lagartijas,Alta,
Aves_cazadoras,Falco femoralis,Reptiles,Especialista,Aplicacion Aves Argentinas,Lagartijas,Alta,
Aves_cazadoras,Falco peregrinus,Reptiles,Especialista,Aplicacion Aves Argentinas,Lagartijas,Alta,
Aves_cazadoras,Geranoaetus melanoleucus,Reptiles,Especialista,Aplicacion Aves Argentinas,Lagartijas,Alta,
Aves_cazadoras,Guira guira,Lagartijas,Especialista,Aplicacion Aves Argentinas,Lagartijas,Alta,
Aves_cazadoras,Megaceryle torquata,Reptiles,Especialista,Aplicacion Aves Argentinas,Lagartijas,Alta,
Aves_cazadoras,Parabuteo unicinctus,Reptiles,Especialista,Aplicacion Aves Argentinas,Lagartijas,Alta,
Aves_cazadoras,Falco peregrinus,Loros,Especialista,Aplicacion Aves Argentinas,Loros,Alta,
Aves_cazadoras,Bubo magellanicus,Liebres y conejos,Especialista,Aplicacion Aves Argentinas,Mamiferos_terrestres,Alta,
Aves_cazadoras,Buteo polyosoma,Liebres,Especialista,Aplicacion Aves Argentinas,Mamiferos_terrestres,Alta,
Aves_cazadoras,Falco peregrinus,Conejos y roedores,Especialista,Aplicacion Aves Argentinas,Mamiferos_terrestres,Alta,
Aves_cazadoras,Geranoaetus melanoleucus,Conejos y liebres,Especialista,Aplicacion Aves Argentinas,Mamiferos_terrestres,Alta,
Aves_cazadoras,Geranoaetus melanoleucus,Zorrinos,Especialista,Aplicacion Aves Argentinas,Mamiferos_terrestres,Alta,
Aves_cazadoras,Geranoaetus melanoleucus,Chinchillones,Especialista,Aplicacion Aves Argentinas,Mamiferos_terrestres,Alta,
Aves_cazadoras,Parabuteo unicinctus,"Mamíferos medianos (cuises, liebres, ratones)",Especialista,Aplicacion Aves Argentinas,Mamiferos_terrestres,Alta,
Aves_cazadoras,Asio flammeus,Murciélagos,Especialista,Aplicacion Aves Argentinas,Murciélagos,Alta,
Aves_cazadoras,Falco peregrinus,Murciélagos,Especialista,Aplicacion Aves Argentinas,Murciélagos,Alta,
Aves_cazadoras,Tyto alba,Murciélagos,Especialista,Aplicacion Aves Argentinas,Murciélagos,Alta,
Aves_cazadoras,Buteo lineatus,Myocastor coypus,Especialista,Woods et al 1992,Myocastor coypus,Alta,
Aves_cazadoras,Circus aeruginosus,Myocastor coypus,Especialista,Woods et al 1992,Myocastor coypus,Alta,
Aves_cazadoras,Strix aluco,Myocastor coypus,Especialista,Woods et al 1992,Myocastor coypus,Alta,
Aves_cazadoras,Buteo polyosoma,Hurones,Especialista,Aplicacion Aves Argentinas,Neogale vison,Media,
Aves_cazadoras,Megaceryle torquata,Peces,Especialista,Aplicacion Aves Argentinas,Odontesthes hatcheri,Media,
Aves_cazadoras,Megaceryle torquata,Peces,Especialista,Aplicacion Aves Argentinas,Oncorhynchus mykiss,Media,
Aves_cazadoras,Asio flammeus,Aves ,Especialista,Aplicacion Aves Argentinas,Passeriformes,Media,
Aves_cazadoras,Athene cunicularia,Aves (ocasionalmente),Especialista,Aplicacion Aves Argentinas,Passeriformes,Alta,
Aves_cazadoras,Bubo magellanicus,Aves (ocasionalmente),Especialista,Aplicacion Aves Argentinas,Passeriformes,Alta,
Aves_cazadoras,Circus cinereus,Passeriformes,Especialista,Aplicacion Aves Argentinas,Passeriformes,Alta,
Aves_cazadoras,Falco femoralis,Aves ,Especialista,Aplicacion Aves Argentinas,Passeriformes,Alta,
Aves_cazadoras,Falco peregrinus,Passeriformes a cauquenes,Especialista,Aplicacion Aves Argentinas,Passeriformes,Alta,
Aves_cazadoras,Falco sparverius,Pequeñas aves,Especialista,Aplicacion Aves Argentinas,Passeriformes,Alta,
Aves_cazadoras,Geranoaetus melanoleucus,Aves ,Especialista,Aplicacion Aves Argentinas,Passeriformes,Media,
Aves_cazadoras,Falco peregrinus,Patos,Especialista,Aplicacion Aves Argentinas,Patos,Alta,
Aves_cazadoras,Asio flammeus,Anfibios,Especialista,Aplicacion Aves Argentinas,Ranas,Alta,
Aves_cazadoras,Athene cunicularia,Pequeños reptiles y anfibios,Especialista,Aplicacion Aves Argentinas,Ranas,Media,
Aves_cazadoras,Circus cinereus,Anfibios,Especialista,Aplicacion Aves Argentinas,Ranas,Alta,
Aves_cazadoras,Falco sparverius,Anfibios,Especialista,Aplicacion Aves Argentinas,Ranas,Alta,
Aves_cazadoras,Falco sparverius,Anfibios,Especialista,Aplicacion Aves Argentinas,Ranas,Alta,
Aves_cazadoras,Guira guira,Ranas,Especialista,Aplicacion Aves Argentinas,Ranas,Alta,
Aves_cazadoras,Megaceryle torquata,Ranas,Especialista,Aplicacion Aves Argentinas,Ranas,Alta,
Aves_cazadoras,Parabuteo unicinctus,Anfibios,Especialista,Aplicacion Aves Argentinas,Ranas,Alta,
Aves_cazadoras,Asio flammeus,Roedores,Especialista,Aplicacion Aves Argentinas,Rodentia,Alta,
Aves_cazadoras,Asio flammeus,Marsupiales pequeños,Especialista,Aplicacion Aves Argentinas,Rodentia,Media,
Aves_cazadoras,Athene cunicularia,Pequeños roedores,Especialista,Aplicacion Aves Argentinas,Rodentia,Alta,
Aves_cazadoras,Bubo magellanicus,"Pequeños mamíferos (ratones, cuises)",Especialista,Aplicacion Aves Argentinas,Rodentia,Alta,
Aves_cazadoras,Buteo polyosoma,Roedores,Especialista,Aplicacion Aves Argentinas,Rodentia,Alta,
